Time,Velocity_KPH
0.0,315.825
0.007,315.8906232
0.232,318.0
0.367,318.74999893333336
0.547,319.74999893333336
0.592,320.0
0.867,320.8593744
0.912,321.0
1.232,322.0
1.288,322.7
1.552,326.0
1.727,326.5468744
1.828,326.8624992
1.872,327.0
2.108,327.98333226666665
2.112,328.0
2.272,330.0
2.507,330.9791658666667
2.512,331.0
2.968,332.9039673602541
2.991,333.0
3.268,333.8656248
3.311,334.0
3.472,335.0
3.588,335.0
3.632,335.0
3.748,335.96666453333336
3.872,337.0
3.908,337.0
4.072,337.0
4.108,337.0
4.272,337.0
4.368,337.8
4.512,339.0
4.608,339.48
4.712,340.0
4.872,340.0
4.948,340.27142765714285
5.128,340.9142857142857
5.152,341.0
5.352,341.0
5.428,341.0
5.592,341.0
5.792,342.0
6.152,343.0
6.352,343.0
6.512,343.0
6.547,343.0
6.752,343.0
6.807,343.0
6.952,343.0
7.167,342.23214354285716
7.232,342.0
7.367,342.0
7.548,342.0
7.552,342.0
7.767,342.0
7.912,342.0
7.987,341.81250048
8.247,341.16250048
8.312,341.0
8.448,326.72
8.512,320.0
8.747,282.5469056
8.832,269.0
8.968,242.36666666666667
9.072,222.0
9.347,182.71431314285715
9.352,182.0
9.552,162.0
9.808,144.17269241547896
9.911,137.0
9.968,133.87280891875483
10.268,117.4139779763497
10.312,115.0
10.472,106.0
10.528,104.075
10.708,97.8875088
10.792,95.0
10.952,91.0
11.068,88.68000512
11.152,87.0
11.288,84.52727272727273
11.592,79.0
11.648,78.72
11.792,78.0
11.928,79.94285714285714
12.072,82.0
12.149,82.85555484444444
12.428,85.95555271111111
12.432,86.0
12.672,81.0
12.708,80.1000064
12.952,74.0
13.027,74.0
13.192,74.0
13.367,74.72916586666666
13.432,75.0
13.607,79.77272203636363
13.872,87.0
13.927,88.68054968888889
14.167,96.01388302222222
14.232,98.0
14.328,102.8
14.392,106.0
14.547,114.7187392
14.552,115.0
14.832,125.0
14.928,130.4
15.228,147.2749856
15.408,157.4
